FIPS,County,State,Total,Under 18,18 to 64,Over 64,White,Black,Hispanic,Asian,Other_Races,Below 9th grade,High School,College,Advanced Degree,Urban_Percentage
01001,Autauga County,Alabama,58761,0.2342710301050016,0.6095709739453039,0.15615799594969454,0.7255662769524004,0.19563996528309593,0.03172172018856044,0.010823505386225557,0.03624853218971767,0.01726883646859759,0.8414203244749676,0.29558574698915097,0.12822235493182044,0.593231868038432
01003,Baldwin County,Alabama,233420,0.2116185416845172,0.5763216519578442,0.2120598063576386,0.8232413674920743,0.08276068888698483,0.04802501927855368,0.00876531573986805,0.037207608602519066,0.020057237968650835,0.8661074588976303,0.32561578714181366,0.1251990755708829,0.624135446375023
01005,Barbour County,Alabama,24877,0.20705872894641636,0.5949270410419263,0.19801423001165736,0.4455521164127507,0.46878642923182057,0.04831772319813482,0.005064919403465048,0.03227881175382884,0.07292786421499292,0.6873550212164073,0.1188118811881188,0.05278642149929279,0.340800063434167
01007,Bibb County,Alabama,22251,0.21190058873758483,0.6202867286863512,0.167812682576064,0.7424385420879961,0.20664239809446766,0.029212170239539797,0.0031009842254280705,0.018605905352568425,0.06392464678178963,0.710204081632653,0.1091993720565149,0.04345368916797488,0.0
01009,Blount County,Alabama,59077,0.2295986593767456,0.5877414222116898,0.18265991841156456,0.8567462802782809,0.012339827682516038,0.09683971765661764,0.0016927061292888942,0.03238146825329655,0.0712448244603964,0.7399857902344611,0.14741406766788348,0.053335619962270625,0.0951060303716982
01011,Bullock County,Alabama,10328,0.21059256390395042,0.6234508133230054,0.16595662277304415,0.20575135553834237,0.6890975987606507,0.08781951975213013,0.004163439194422928,0.013168086754453912,0.09921743991056456,0.672023476802683,0.09376746785913918,0.025013974287311346,0.0
01013,Butler County,Alabama,18981,0.22306517043359148,0.5650914071966704,0.21184342236973816,0.5086665612981403,0.4458142352879195,0.01696433275380644,0.012802275960170697,0.01575259469996312,0.03867028493894165,0.8123775064073572,0.13048394391677973,0.052917232021709636,0.305653246548738
01015,Calhoun County,Alabama,116162,0.21176460460391522,0.6092267695115442,0.17900862588454056,0.7046280194900225,0.21697284826363183,0.04077064788829393,0.006094936381949347,0.03153354797610234,0.04426651125666722,0.778768798064132,0.19153437812773183,0.07626914646970138,0.635059815700655
01017,Chambers County,Alabama,34612,0.20776031434184675,0.5949092800184907,0.19733040563966253,0.5429908702184214,0.4075754073731654,0.032618744943950076,0.0017335028313879579,0.015081474633075234,0.05759734477454869,0.7628511292803367,0.12733748886910062,0.035335546021209426,0.492551478200851
01019,Cherokee County,Alabama,25069,0.18851968566755753,0.5790418445091547,0.23243846982328772,0.9074554230324305,0.039889903865331686,0.019107263951493876,0.0008376879811719653,0.03270972116957198,0.06613399557307131,0.7495006208497543,0.14592668574205042,0.06332667494466339,0.0
01021,Chilton County,Alabama,45140,0.23715108551174124,0.5943730615861763,0.16847585290208242,0.7911829862649534,0.09424014178112539,0.08116969428444838,0.005073105892778024,0.028334071776694728,0.059132934757750985,0.757326276585318,0.13973014472867457,0.057924139958835635,0.144555027324832
01023,Choctaw County,Alabama,12669,0.1993843239403268,0.5677638329781356,0.2328518430815376,0.5653169153050753,0.3990054463651433,0.01128739442734233,0.0011839924224484964,0.023206251479990527,0.06407423773751657,0.771873619089704,0.130468404772426,0.034025629695095004,0.0
01025,Clarke County,Alabama,23058,0.22009714632665453,0.576069043282158,0.20383381039118745,0.5121432908318154,0.4544626593806922,0.014528580102350594,0.0039032006245121,0.014962269060629717,0.04864189822041836,0.7696534498907275,0.13768342179206994,0.053637215110833594,0.0
01027,Clay County,Alabama,14209,0.20479977479062567,0.5869519318741643,0.20824829333521008,0.8012527271447674,0.12597649377155323,0.030755155183334507,0.002533605461327328,0.039482018439017524,0.050134288272157566,0.7736993932159555,0.12762359494678205,0.03551178752611161,0.0
01029,Cleburne County,Alabama,15144,0.22754886423666137,0.5760697305863708,0.19638140517696778,0.9220813523507659,0.02713946117274168,0.026479133650290546,0.0009904912836767037,0.023309561542525094,0.05164628410159925,0.7475070555032926,0.16491063029162747,0.054656632173095014,0.0
01031,Coffee County,Alabama,53559,0.23656154894602213,0.5923187512836311,0.17111969977034672,0.6884930637241173,0.1605332437125413,0.08401949252226516,0.010511772064452286,0.05644242797662391,0.04502680818470292,0.8119870883028778,0.2160794397636503,0.08515701936754569,0.524698400822968
01033,Colbert County,Alabama,57270,0.20913218089750304,0.5908852802514405,0.1999825388510564,0.7767592107560678,0.1601361969617601,0.0320761306093941,0.003736685873930505,0.027291775798847565,0.03558222113383127,0.8068323741888086,0.18043345169584915,0.0683237418880862,0.597043353661733
01035,Conecuh County,Alabama,11576,0.2045611610228058,0.5609882515549413,0.23445058742225294,0.49680373185901866,0.4796993780234969,0.006910850034554251,0.0031098825155494126,0.013476157567380787,0.02851348126938678,0.8482462419470294,0.13314244810307801,0.05654974946313529,0.0
01037,Coosa County,Alabama,10329,0.16051892729209022,0.5952173492109595,0.24426372349695033,0.6420757091683609,0.3020621550972989,0.02749540129731823,0.0,0.028366734437021975,0.03727171077152441,0.7577338799850913,0.10634861473474966,0.03453845198161262,0.0
01039,Covington County,Alabama,37542,0.219141228490757,0.5633690266901071,0.2174897448191359,0.8246230888072026,0.1226892547014011,0.019950988226519632,0.005806829684087155,0.026929838580789515,0.04427723371270843,0.7989564033727833,0.1630808787386093,0.06533822361704542,0.311844556827256
