date,race,age,sex
2023-01-20,Black or African American,23,F
2023-01-22,White,22,F
2023-01-23,Black or African American,15,F
2023-01-24,Black or African American,22,F
2023-01-29,Black or African American,21,F
2023-02-01,White,16,F
2023-02-04,White,23,F
2023-02-05,Other,24,M
2023-02-10,Black or African American,15,M
2023-02-10,Other,11,F
2023-02-10,Black or African American,15,M
2023-02-11,Other,11,F
2023-02-12,White,22,F
2023-02-14,Black or African American,23,F
2023-02-14,Other,13,F
2023-02-20,Black or African American,24,F
2023-02-20,Black or African American,18,F
2023-02-22,Black or African American,10,F
2023-02-24,Black or African American,15,M
2023-02-26,Black or African American,16,M
2023-02-26,White,18,F
2023-02-27,Other,13,F
2023-02-27,Black or African American,17,M
2023-03-02,Black or African American,22,F
2023-03-02,Black or African American,19,M
2023-03-03,Black or African American,15,F
2023-03-03,Black or African American,12,M
2023-03-12,White,19,F
2023-03-14,Other,18,M
2023-03-16,Black or African American,21,M
2023-03-19,Other,24,F
2023-03-19,Black or African American,18,F
2023-03-23,White,15,M
2023-03-26,Black or African American,20,F
2023-03-31,Black or African American,18,M
2023-03-31,Black or African American,23,M
2023-04-01,"Black or African American, White",20,F
2023-04-05,"Other, White",14,M
2023-04-05,Black or African American,15,F
2023-04-06,Other,13,F
2023-04-07,Black or African American,17,F
2023-04-08,White,21,M
2023-04-10,Black or African American,18,F
2023-04-10,White,21,F
2023-04-10,Black or African American,19,F
2023-04-11,Black or African American,23,M
2023-04-14,Black or African American,23,M
2023-04-15,Black or African American,16,F
2023-04-17,White,16,M
2023-04-19,Black or African American,15,M
2023-04-20,Black or African American,12,M
2023-04-21,White,17,M
2023-04-21,Black or African American,23,M
2023-04-25,Black or African American,14,F
2023-04-29,Black or African American,15,F
2023-04-29,Black or African American,22,F
2023-04-30,Black or African American,12,F
2023-05-08,Black or African American,13,F
2023-05-09,Black or African American,13,M
2023-05-10,Black or African American,16,F
2023-05-11,Black or African American,13,M
2023-05-12,Black or African American,17,F
2023-05-13,Other,23,M
2023-05-14,Black or African American,24,F
2023-05-16,Unknown,23,M
2023-05-16,White,12,M
2023-05-17,Other,12,M
2023-05-22,Black or African American,13,F
2023-05-22,Black or African American,12,F
2023-05-24,Black or African American,20,F
2023-05-28,Black or African American,18,F
2023-05-29,White,21,F
2023-06-01,Black or African American,10,F
2023-06-01,Black or African American,12,F
2023-06-05,Black or African American,13,M
2023-06-06,Black or African American,14,M
2023-06-07,Black or African American,18,F
2023-06-08,Black or African American,11,M
2023-06-13,Black or African American,20,F
2023-06-13,Black or African American,21,F
2023-06-16,Black or African American,17,M
2023-06-17,Black or African American,23,F
2023-06-18,Other,16,F
2023-06-19,Black or African American,23,F
2023-06-19,Black or African American,24,F
2023-06-21,Other,15,M
2023-06-24,Black or African American,19,F
2023-06-24,Black or African American,16,M
2023-06-24,White,18,F
2023-06-24,Black or African American,16,M
2023-06-25,Black or African American,18,F
2023-06-29,Black or African American,22,F
2023-07-02,Black or African American,23,F
2023-07-07,Black or African American,15,F
2023-07-08,Black or African American,18,F
2023-07-09,Black or African American,17,F
2023-07-10,White,17,F
2023-07-11,Black or African American,20,M
2023-07-12,Black or African American,20,M
2023-07-13,"Black or African American, White",13,F
2023-07-16,Black or African American,21,M
2023-07-20,"Black or African American, Unknown",24,F
2023-07-21,Black or African American,18,F
2023-07-23,Other,18,F
2023-07-25,Black or African American,20,F
2023-07-26,Other,21,F
2023-07-27,White,24,F
